┌─[root@parrot]─[~/hackthebox/openadmin]   
└──╼ #cd /opt/                             
┌─[root@parrot]─[/opt]                     
└──╼ #ls                                   
BloodHound          finger-user-enum     impacket           php-reverse-shell                           SecLists      tmux-yank                  wordlists                    
BurpSuiteCommunity  firmware-mod-kit     JAWS               PowerSploit                                 ssh2john.c    truffleHog                 xplico                       
car-hacking         fsociety             linux_privsec      privilege-escalation-awesome-scripts-suite  Sublist3r     Ultimate-Facebook-Scraper  Yuki-Chan-The-Auto-Pentest   
ctf-tools           ghidra               mRemoteNG-Decrypt  PRTG-Network-Monitor-RCE                    Teeth         unicorn                                                 
dirsearch           ghidra_9.1.1_PUBLIC  nishang            pspy                                        tmux          Veil                                                    
Empire              gobuster             passwords          python3-pwntools                            tmux-logging  wicd-git                                                
┌─[root@parrot]─[/opt]                     
└──╼ #rm ssh2john.c                        
┌─[root@parrot]─[/opt]                     
└──╼ #vi ssh2john.py                       
┌─[root@parrot]─[/opt]                     
└──╼ #chmod +x ssh2john.py                 
┌─[root@parrot]─[/opt]                     
└──╼ #./ssh2john.py ~/hackthebox/openadmin/joanna ~/hackthebox/openadmin/joanna.hash   
/root/hackthebox/openadmin/joanna:$sshng$1$16$2AF25344B8391A25A9B318F3FD767D6D$1200$906d14608706c9ac6ea6342a692d9ed47a9b87044b94d72d5b61df25e68a5235991f8bac883f40b539c829550ea5937c69dfd2b4c589f8c910e4c9c030982541e51b4717013fafbe1e1db9d6331c83cca061cc7550c0f4dd98da46ec1c7f460e4a135b6f1f04bafaf66a08db17ecad8a60f25a1a095d4f94a530f9f0bf9222c6736a5f54f1ff93c6182af4ad8a407044eb16ae6cd2a10c92acffa6095441ed63215b6126ed62de25b2803233cc3ea533d56b72d15a71b291547983bf5bee5b0966710f2b4edf264f0909d6f4c0f9cb372f4bb323715d17d5ded5f83117233976199c6d86bfc28421e217ccd883e7f0eecbc6f227fdc8dff12ca87a61207803dd47ef1f2f6769773f9cb52ea7bb34f96019e00531fcc267255da737ca3af49c88f73ed5f44e2afda28287fc6926660b8fb0267557780e53b407255dcb44899115c568089254d40963c8511f3492efe938a620bde879c953e67cfb55dbbf347ddd677792544c3bb11eb0843928a34d53c3e94fed25bff744544a69bc80c4ffc87ffd4d5c3ef5fd01c8b4114cacde7681ea9556f22fc863d07a0f1e96e099e749416cca147add636eb24f5082f9224e2907e3464d71ae711cf8a3f21bd4476bf98c633ff1bbebffb42d24544298c918a7b14c501d2c43534b8428d34d500537f0197e75a4279bbe4e8d2acee3c1586a59b28671e406c0e178b4d29aaa7a478b0258bde6628a3de723520a66fb0b31f1ea5bf45b693f868d47c2d89692920e2898ccd89710c42227d31293d9dad740791453ec8ebfb26047ccca53e0a200e9112f345f5559f8ded2f193feedd8c1db6bd0fbfa5441aa773dd5c4a60defe92e1b7d79182af16472872ab3c222bdd2b5f941604b7de582b08ce3f6635d83f66e9b84e6fe9d3eafa166f9e62a4cdc993d42ed8c0ad5713205a9fc7e5bc87b2feeaffe05167a27b04975e9366fa254adf511ffd7d07bc1f5075d70b2a7db06f2224692566fb5e8890c6e39038787873f21c52ce14e1e70e60b8fca716feb5d0727ac1c355cf633226c993ca2f16b95c59b3cc31ac7f641335d80ff1ad3e672f88609ec5a4532986e0567e169094189dcc82d11d46bf73bc6c48a05f84982aa222b4c0e78b18cceb15345116e74f5fbc55d407ed9ba12559f57f37512998565a54fe77ea2a2224abbddea75a1b6da09ae3ac043b6161809b630174603f33195827d14d0ebd64c6e48e0d0346b469d664f89e2ef0e4c28b6a64acdd3a0edf8a61915a246feb25e8e69b3710916e494d5f482bf6ab65c675f73c39b2c2eecdca6709188c6f36b6331953e3f93e27c987a3743eaa71502c43a807d8f91cdc4dc33f48b852efdc8fcc2647f2e588ae368d69998348f0bfcfe6d65892aebb86351825c2aa45afc2e6869987849d70cec46ba951c864accfb8476d5643e7926942ddd8f0f32c296662ba659e999b0fb0bbfde7ba2834e5ec931d576e4333d6b5e8960e9de46d32daa5360ce3d0d6b864d3324401c4975485f1aef6ba618edb12d679b0e861fe5549249962d08d25dc2dde517b23cf9a76dcf482530c9a34762f97361dd95352de4c82263cfaa90796c2fa33dd5ce1d889a045d587ef18a5b940a2880e1c706541e2b523572a8836d513f6e688444af86e2ba9ad2ded540deadd9559eb56ac66fe021c3f88c2a1a484d62d602903793d10d                                       
[/root/hackthebox/openadmin/joanna.hash] couldn't parse keyfile                        
┌─[root@parrot]─[/opt]                     
└──╼ #cd -                                 
/root/hackthebox/openadmin                 
┌─[root@parrot]─[~/hackthebox/openadmin]   
└──╼ #ls                                   
creds  exploit.sh  joanna  joanna.hash  l.sh  nmap  reverse.sh  shell.sh  www          
┌─[root@parrot]─[~/hackthebox/openadmin]   
└──╼ #vi joanna.hash                       
┌─[root@parrot]─[~/hackthebox/openadmin]   
└──╼ #john -m 16700 joanna.hash --wordlist=/opt/wordlists/rockyou.txt --force                                                                                                 
Unknown option: "-m"                       
┌─[✗]─[root@parrot]─[~/hackthebox/openadmin]                                           
└──╼ #hashcat -m 16700 joanna.hash --wordlist=/opt/wordlists/rockyou.txt --force                                                                                              
hashcat: option '--wordlist-autohex-disable' doesn't allow an argument                 
Invalid argument specified.                

┌─[✗]─[root@parrot]─[~/hackthebox/openadmin]                                           
└──╼ #hashcat -m 16700 joanna.hash -wordlist=/opt/wordlists/rockyou.txt --force                                                                                               
The specified parameter cannot use 'ordlist=/opt/wordlists/rockyou.txt' as a value - must be a number.                                                                        

┌─[✗]─[root@parrot]─[~/hackthebox/openadmin]                                           
└──╼ #hashcat --help                       
hashcat - advanced password recovery       

Usage: hashcat [options]... hash|hashfile|hccapxfile [dictionary|mask|directory]...    

- [ Options ] -                            

 Options Short / Long           | Type | Description                                          | Example                                                                       
     --hwmon-temp-abort         | Num  | Abort if temperature reaches X degrees Celsius       | --hwmon-temp-abort=100                                                        
     --scrypt-tmto              | Num  | Manually override TMTO value for scrypt to X         | --scrypt-tmto=3                                                               
 -s, --skip                     | Num  | Skip X words from the start                          | -s 1000000                                                                    
 -l, --limit                    | Num  | Limit X words from the start + skipped words         | -l 1000000                                                                    
     --keyspace                 |      | Show keyspace base:mod values and quit               |                                                                               
 -j, --rule-left                | Rule | Single rule applied to each word from left wordlist  | -j 'c'                                                                        
 -k, --rule-right               | Rule | Single rule applied to each word from right wordlist | -k '^-'                                                                       
 -r, --rules-file               | File | Multiple rules applied to each word from wordlists   | -r rules/best64.rule                                                          
 -g, --generate-rules           | Num  | Generate X random rules                              | -g 10000                                                                      
     --generate-rules-func-min  | Num  | Force min X functions per rule                       |                                                                               
     --generate-rules-func-max  | Num  | Force max X functions per rule                       |                                                                               
     --generate-rules-seed      | Num  | Force RNG seed set to X                              |                                                                               
 -1, --custom-charset1          | CS   | User-defined charset ?1                              | -1 ?l?d?u                                                                     
 -2, --custom-charset2          | CS   | User-defined charset ?2                              | -2 ?l?d?s                                                                     
 -3, --custom-charset3          | CS   | User-defined charset ?3                              |                                                                               
 -4, --custom-charset4          | CS   | User-defined charset ?4                              |                                                                               
 -i, --increment                |      | Enable mask increment mode                           |                                                                               
     --increment-min            | Num  | Start mask incrementing at X                         | --increment-min=4                                                             
     --increment-max            | Num  | Stop mask incrementing at X                          | --increment-max=8                                                             
 -S, --slow-candidates          |      | Enable slower (but advanced) candidate generators    |                                                                               
     --brain-server             |      | Enable brain server                                  |                                                                               
 -z, --brain-client             |      | Enable brain client, activates -S                    |                                                                               
     --brain-client-features    | Num  | Define brain client features, see below              | --brain-client-features=3                                                     
     --brain-host               | Str  | Brain server host (IP or domain)                     | --brain-host=127.0.0.1                                                        
     --brain-port               | Port | Brain server port                                    | --brain-port=13743                                                            
     --brain-password           | Str  | Brain server authentication password                 | --brain-password=bZfhCvGUSjRq                                                 
     --brain-session            | Hex  | Overrides automatically calculated brain session     | --brain-session=0x2ae611db                                                    
     --brain-session-whitelist  | Hex  | Allow given sessions only, separated with commas     | --brain-session-whitelist=0x2ae611db                                          

- [ Hash modes ] -                         

      # | Name                                             | Category                  
  ======+==================================================+======================================                                                                            
    900 | MD4                                              | Raw Hash                  
      0 | MD5                                              | Raw Hash                  
   5100 | Half MD5                                         | Raw Hash                  
    100 | SHA1                                             | Raw Hash                  
   1300 | SHA2-224                                         | Raw Hash                  
   1400 | SHA2-256                                         | Raw Hash                  
  10800 | SHA2-384                                         | Raw Hash                  
   1700 | SHA2-512                                         | Raw Hash                  
  17300 | SHA3-224                                         | Raw Hash                  
  17400 | SHA3-256                                         | Raw Hash                  
  17500 | SHA3-384                                         | Raw Hash                  
  17600 | SHA3-512                                         | Raw Hash                  
  17700 | Keccak-224                                       | Raw Hash                  
  17800 | Keccak-256                                       | Raw Hash                  
  17900 | Keccak-384                                       | Raw Hash                  
  18000 | Keccak-512                                       | Raw Hash                  
    600 | BLAKE2b-512                                      | Raw Hash                  
  10100 | SipHash                                          | Raw Hash                  
   6000 | RIPEMD-160                                       | Raw Hash                  
   6100 | Whirlpool                                        | Raw Hash                  
   6900 | GOST R 34.11-94                                  | Raw Hash                  
  11700 | GOST R 34.11-2012 (Streebog) 256-bit, big-endian | Raw Hash                  
  11800 | GOST R 34.11-2012 (Streebog) 512-bit, big-endian | Raw Hash                  
     10 | md5($pass.$salt)                                 | Raw Hash, Salted and/or Iterated                                                                                 
     20 | md5($salt.$pass)                                 | Raw Hash, Salted and/or Iterated                                                                                 
     30 | md5(utf16le($pass).$salt)                        | Raw Hash, Salted and/or Iterated                                                                                 
     40 | md5($salt.utf16le($pass))                        | Raw Hash, Salted and/or Iterated                                                                                 
   3800 | md5($salt.$pass.$salt)                           | Raw Hash, Salted and/or Iterated                                                                                 
   3710 | md5($salt.md5($pass))                            | Raw Hash, Salted and/or Iterated                                                                                 
   4010 | md5($salt.md5($salt.$pass))                      | Raw Hash, Salted and/or Iterated                                                                                 
   4110 | md5($salt.md5($pass.$salt))                      | Raw Hash, Salted and/or Iterated                                                                                 
   2600 | md5(md5($pass))                                  | Raw Hash, Salted and/or Iterated                                                                                 
   3910 | md5(md5($pass).md5($salt))                       | Raw Hash, Salted and/or Iterated                                                                                 
   4300 | md5(strtoupper(md5($pass)))                      | Raw Hash, Salted and/or Iterated                                                                                 
   4400 | md5(sha1($pass))                                 | Raw Hash, Salted and/or Iterated                                                                                 
    110 | sha1($pass.$salt)                                | Raw Hash, Salted and/or Iterated                                                                                 
    120 | sha1($salt.$pass)                                | Raw Hash, Salted and/or Iterated                                                                                 
    130 | sha1(utf16le($pass).$salt)                       | Raw Hash, Salted and/or Iterated                                                                                 
    140 | sha1($salt.utf16le($pass))                       | Raw Hash, Salted and/or Iterated                                                                                 
   4500 | sha1(sha1($pass))                                | Raw Hash, Salted and/or Iterated                                                                                 
   4520 | sha1($salt.sha1($pass))                          | Raw Hash, Salted and/or Iterated                                                                                 
   4700 | sha1(md5($pass))                                 | Raw Hash, Salted and/or Iterated                                                                                 
   4900 | sha1($salt.$pass.$salt)                          | Raw Hash, Salted and/or Iterated                                                                                 
  14400 | sha1(CX)                                         | Raw Hash, Salted and/or Iterated                                                                                 
   1410 | sha256($pass.$salt)                              | Raw Hash, Salted and/or Iterated                                                                                 
   1420 | sha256($salt.$pass)                              | Raw Hash, Salted and/or Iterated                                                                                 
   1430 | sha256(utf16le($pass).$salt)                     | Raw Hash, Salted and/or Iterated                                                                                 
   1440 | sha256($salt.utf16le($pass))                     | Raw Hash, Salted and/or Iterated                                                                                 
   1710 | sha512($pass.$salt)                              | Raw Hash, Salted and/or Iterated                                                                                 
   1720 | sha512($salt.$pass)                              | Raw Hash, Salted and/or Iterated                                                                                 
   1730 | sha512(utf16le($pass).$salt)                     | Raw Hash, Salted and/or Iterated                                                                                 
   1740 | sha512($salt.utf16le($pass))                     | Raw Hash, Salted and/or Iterated                                                                                 
     50 | HMAC-MD5 (key = $pass)                           | Raw Hash, Authenticated   
     60 | HMAC-MD5 (key = $salt)                           | Raw Hash, Authenticated   
    150 | HMAC-SHA1 (key = $pass)                          | Raw Hash, Authenticated   
    160 | HMAC-SHA1 (key = $salt)                          | Raw Hash, Authenticated   
   1450 | HMAC-SHA256 (key = $pass)                        | Raw Hash, Authenticated   
   1460 | HMAC-SHA256 (key = $salt)                        | Raw Hash, Authenticated   
   1750 | HMAC-SHA512 (key = $pass)                        | Raw Hash, Authenticated   
   1760 | HMAC-SHA512 (key = $salt)                        | Raw Hash, Authenticated   
  11750 | HMAC-Streebog-256 (key = $pass), big-endian      | Raw Hash, Authenticated   
  11760 | HMAC-Streebog-256 (key = $salt), big-endian      | Raw Hash, Authenticated   
  11850 | HMAC-Streebog-512 (key = $pass), big-endian      | Raw Hash, Authenticated   
  11860 | HMAC-Streebog-512 (key = $salt), big-endian      | Raw Hash, Authenticated   
  14000 | DES (PT = $salt, key = $pass)                    | Raw Cipher, Known-Plaintext attack                                                                               
  14100 | 3DES (PT = $salt, key = $pass)                   | Raw Cipher, Known-Plaintext attack                                                                               
  14900 | Skip32 (PT = $salt, key = $pass)                 | Raw Cipher, Known-Plaintext attack                                                                               
  15400 | ChaCha20                                         | Raw Cipher, Known-Plaintext attack                                                                               
    400 | phpass                                           | Generic KDF               
   8900 | scrypt                                           | Generic KDF               
  11900 | PBKDF2-HMAC-MD5                                  | Generic KDF               
  12000 | PBKDF2-HMAC-SHA1                                 | Generic KDF               
  10900 | PBKDF2-HMAC-SHA256                               | Generic KDF               
  12100 | PBKDF2-HMAC-SHA512                               | Generic KDF               
     23 | Skype                                            | Network Protocols         
   2500 | WPA-EAPOL-PBKDF2                                 | Network Protocols         
   2501 | WPA-EAPOL-PMK                                    | Network Protocols         
  16800 | WPA-PMKID-PBKDF2                                 | Network Protocols         
  16801 | WPA-PMKID-PMK                                    | Network Protocols         
   4800 | iSCSI CHAP authentication, MD5(CHAP)             | Network Protocols         
   5300 | IKE-PSK MD5                                      | Network Protocols         
   5400 | IKE-PSK SHA1                                     | Network Protocols         
   5500 | NetNTLMv1                                        | Network Protocols         
   5500 | NetNTLMv1+ESS                                    | Network Protocols         
   5600 | NetNTLMv2                                        | Network Protocols         
   7300 | IPMI2 RAKP HMAC-SHA1                             | Network Protocols         
   7500 | Kerberos 5 AS-REQ Pre-Auth etype 23              | Network Protocols         
   8300 | DNSSEC (NSEC3)                                   | Network Protocols         
  10200 | CRAM-MD5                                         | Network Protocols         
  11100 | PostgreSQL CRAM (MD5)                            | Network Protocols         
  11200 | MySQL CRAM (SHA1)                                | Network Protocols         
  11400 | SIP digest authentication (MD5)                  | Network Protocols         
  13100 | Kerberos 5 TGS-REP etype 23                      | Network Protocols         
  16100 | TACACS+                                          | Network Protocols         
  16500 | JWT (JSON Web Token)                             | Network Protocols         
  18200 | Kerberos 5 AS-REP etype 23                       | Network Protocols         
    121 | SMF (Simple Machines Forum) > v1.1               | Forums, CMS, E-Commerce, Frameworks                                                                              
    400 | phpBB3 (MD5)                                     | Forums, CMS, E-Commerce, Frameworks                                                                              
   2611 | vBulletin < v3.8.5                               | Forums, CMS, E-Commerce, Frameworks                                                                              
   2711 | vBulletin >= v3.8.5                              | Forums, CMS, E-Commerce, Frameworks                                                                              
   2811 | MyBB 1.2+                                        | Forums, CMS, E-Commerce, Frameworks                                                                              
   2811 | IPB2+ (Invision Power Board)                     | Forums, CMS, E-Commerce, Frameworks                                                                              
   8400 | WBB3 (Woltlab Burning Board)                     | Forums, CMS, E-Commerce, Frameworks                                                                              
     11 | Joomla < 2.5.18                                  | Forums, CMS, E-Commerce, Frameworks                                                                              
    400 | Joomla >= 2.5.18 (MD5)                           | Forums, CMS, E-Commerce, Frameworks                                                                              
    400 | WordPress (MD5)                                  | Forums, CMS, E-Commerce, Frameworks                                                                              
   2612 | PHPS                                             | Forums, CMS, E-Commerce, Frameworks                                                                              
   7900 | Drupal7                                          | Forums, CMS, E-Commerce, Frameworks                                                                              
     21 | osCommerce                                       | Forums, CMS, E-Commerce, Frameworks                                                                              
     21 | xt:Commerce                                      | Forums, CMS, E-Commerce, Frameworks                                                                              
  11000 | PrestaShop                                       | Forums, CMS, E-Commerce, Frameworks                                                                              
    124 | Django (SHA-1)                                   | Forums, CMS, E-Commerce, Frameworks                                                                              
