root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
8 packets transmitted, 0 received, 100% packet loss, time 7167ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
4 packets transmitted, 0 received, 100% packet loss, time 3068ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=209 ttl=63 time=274 ms                      
64 bytes from 10.10.10.25: icmp_seq=210 ttl=63 time=223 ms                      
64 bytes from 10.10.10.25: icmp_seq=211 ttl=63 time=223 ms                      
64 bytes from 10.10.10.25: icmp_seq=212 ttl=63 time=233 ms                      
64 bytes from 10.10.10.25: icmp_seq=213 ttl=63 time=199 ms                      
64 bytes from 10.10.10.25: icmp_seq=214 ttl=63 time=234 ms                      
64 bytes from 10.10.10.25: icmp_seq=215 ttl=63 time=203 ms                      
64 bytes from 10.10.10.25: icmp_seq=216 ttl=63 time=202 ms                      
64 bytes from 10.10.10.25: icmp_seq=217 ttl=63 time=203 ms                      
64 bytes from 10.10.10.25: icmp_seq=218 ttl=63 time=202 ms                      
64 bytes from 10.10.10.25: icmp_seq=219 ttl=63 time=212 ms                      
64 bytes from 10.10.10.25: icmp_seq=220 ttl=63 time=220 ms                      
64 bytes from 10.10.10.25: icmp_seq=221 ttl=63 time=208 ms                      
64 bytes from 10.10.10.25: icmp_seq=222 ttl=63 time=369 ms                      
64 bytes from 10.10.10.25: icmp_seq=223 ttl=63 time=240 ms                      
64 bytes from 10.10.10.25: icmp_seq=224 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=225 ttl=63 time=217 ms                      
64 bytes from 10.10.10.25: icmp_seq=226 ttl=63 time=418 ms                      
64 bytes from 10.10.10.25: icmp_seq=227 ttl=63 time=185 ms                      
64 bytes from 10.10.10.25: icmp_seq=228 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=229 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=230 ttl=63 time=207 ms                      
64 bytes from 10.10.10.25: icmp_seq=231 ttl=63 time=203 ms                      
64 bytes from 10.10.10.25: icmp_seq=232 ttl=63 time=202 ms                      
64 bytes from 10.10.10.25: icmp_seq=233 ttl=63 time=194 ms                      
64 bytes from 10.10.10.25: icmp_seq=234 ttl=63 time=410 ms                      
64 bytes from 10.10.10.25: icmp_seq=235 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=236 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=237 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=238 ttl=63 time=216 ms                      
64 bytes from 10.10.10.25: icmp_seq=239 ttl=63 time=205 ms                      
64 bytes from 10.10.10.25: icmp_seq=240 ttl=63 time=211 ms                      
64 bytes from 10.10.10.25: icmp_seq=241 ttl=63 time=201 ms                      
64 bytes from 10.10.10.25: icmp_seq=242 ttl=63 time=202 ms                      
64 bytes from 10.10.10.25: icmp_seq=243 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=244 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=245 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=246 ttl=63 time=219 ms                      
64 bytes from 10.10.10.25: icmp_seq=247 ttl=63 time=206 ms                      
^C                                      
--- 10.10.10.25 ping statistics ---     
355 packets transmitted, 120 received, 66.1972% packet loss, time 359785ms      
rtt min/avg/max/mdev = 183.769/460.728/3287.229/496.569 ms, pipe 4              
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=16 ttl=63 time=195 ms                       
^C                                      
--- 10.10.10.25 ping statistics ---     
16 packets transmitted, 1 received, 93.75% packet loss, time 15367ms            
rtt min/avg/max/mdev = 194.898/194.898/194.898/0.000 ms                         
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=1 ttl=63 time=192 ms                        
64 bytes from 10.10.10.25: icmp_seq=2 ttl=63 time=196 ms                        
64 bytes from 10.10.10.25: icmp_seq=3 ttl=63 time=197 ms                        
64 bytes from 10.10.10.25: icmp_seq=4 ttl=63 time=197 ms                        
64 bytes from 10.10.10.25: icmp_seq=5 ttl=63 time=222 ms                        
64 bytes from 10.10.10.25: icmp_seq=6 ttl=63 time=219 ms                        
64 bytes from 10.10.10.25: icmp_seq=7 ttl=63 time=203 ms                        
64 bytes from 10.10.10.25: icmp_seq=8 ttl=63 time=193 ms                        
64 bytes from 10.10.10.25: icmp_seq=9 ttl=63 time=193 ms                        
64 bytes from 10.10.10.25: icmp_seq=10 ttl=63 time=191 ms                       
64 bytes from 10.10.10.25: icmp_seq=11 ttl=63 time=201 ms                       
64 bytes from 10.10.10.25: icmp_seq=12 ttl=63 time=190 ms                       
64 bytes from 10.10.10.25: icmp_seq=13 ttl=63 time=218 ms                       
64 bytes from 10.10.10.25: icmp_seq=14 ttl=63 time=211 ms                       
64 bytes from 10.10.10.25: icmp_seq=15 ttl=63 time=197 ms                       
64 bytes from 10.10.10.25: icmp_seq=16 ttl=63 time=195 ms                       
64 bytes from 10.10.10.25: icmp_seq=17 ttl=63 time=194 ms                       
64 bytes from 10.10.10.25: icmp_seq=18 ttl=63 time=198 ms                       
64 bytes from 10.10.10.25: icmp_seq=19 ttl=63 time=217 ms                       
64 bytes from 10.10.10.25: icmp_seq=20 ttl=63 time=208 ms                       
64 bytes from 10.10.10.25: icmp_seq=21 ttl=63 time=191 ms                       
64 bytes from 10.10.10.25: icmp_seq=22 ttl=63 time=205 ms                       
64 bytes from 10.10.10.25: icmp_seq=23 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=24 ttl=63 time=195 ms                       
64 bytes from 10.10.10.25: icmp_seq=25 ttl=63 time=192 ms                       
64 bytes from 10.10.10.25: icmp_seq=26 ttl=63 time=191 ms                       
64 bytes from 10.10.10.25: icmp_seq=27 ttl=63 time=216 ms                       
64 bytes from 10.10.10.25: icmp_seq=28 ttl=63 time=174 ms                       
64 bytes from 10.10.10.25: icmp_seq=29 ttl=63 time=410 ms                       
64 bytes from 10.10.10.25: icmp_seq=30 ttl=63 time=182 ms                       
64 bytes from 10.10.10.25: icmp_seq=31 ttl=63 time=196 ms                       
64 bytes from 10.10.10.25: icmp_seq=32 ttl=63 time=192 ms                       
64 bytes from 10.10.10.25: icmp_seq=33 ttl=63 time=195 ms                       
64 bytes from 10.10.10.25: icmp_seq=34 ttl=63 time=215 ms                       
64 bytes from 10.10.10.25: icmp_seq=35 ttl=63 time=196 ms                       
64 bytes from 10.10.10.25: icmp_seq=36 ttl=63 time=199 ms                       
64 bytes from 10.10.10.25: icmp_seq=37 ttl=63 time=210 ms                       
64 bytes from 10.10.10.25: icmp_seq=38 ttl=63 time=198 ms                       
64 bytes from 10.10.10.25: icmp_seq=39 ttl=63 time=217 ms                       
64 bytes from 10.10.10.25: icmp_seq=40 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=41 ttl=63 time=194 ms                       
64 bytes from 10.10.10.25: icmp_seq=42 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=43 ttl=63 time=191 ms                       
64 bytes from 10.10.10.25: icmp_seq=44 ttl=63 time=212 ms                       
64 bytes from 10.10.10.25: icmp_seq=45 ttl=63 time=198 ms                       
64 bytes from 10.10.10.25: icmp_seq=46 ttl=63 time=196 ms                       
64 bytes from 10.10.10.25: icmp_seq=47 ttl=63 time=194 ms                       
64 bytes from 10.10.10.25: icmp_seq=48 ttl=63 time=218 ms                       
64 bytes from 10.10.10.25: icmp_seq=49 ttl=63 time=213 ms                       
64 bytes from 10.10.10.25: icmp_seq=50 ttl=63 time=263 ms                       
64 bytes from 10.10.10.25: icmp_seq=51 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=52 ttl=63 time=198 ms                       
64 bytes from 10.10.10.25: icmp_seq=53 ttl=63 time=212 ms                       
64 bytes from 10.10.10.25: icmp_seq=54 ttl=63 time=196 ms                       
64 bytes from 10.10.10.25: icmp_seq=55 ttl=63 time=196 ms                       
64 bytes from 10.10.10.25: icmp_seq=56 ttl=63 time=192 ms                       
64 bytes from 10.10.10.25: icmp_seq=57 ttl=63 time=209 ms                       
64 bytes from 10.10.10.25: icmp_seq=58 ttl=63 time=202 ms                       
64 bytes from 10.10.10.25: icmp_seq=59 ttl=63 time=210 ms                       
64 bytes from 10.10.10.25: icmp_seq=60 ttl=63 time=215 ms                       
64 bytes from 10.10.10.25: icmp_seq=61 ttl=63 time=229 ms                       
64 bytes from 10.10.10.25: icmp_seq=62 ttl=63 time=208 ms                       
64 bytes from 10.10.10.25: icmp_seq=63 ttl=63 time=195 ms                       
64 bytes from 10.10.10.25: icmp_seq=64 ttl=63 time=222 ms                       
64 bytes from 10.10.10.25: icmp_seq=65 ttl=63 time=214 ms                       
64 bytes from 10.10.10.25: icmp_seq=66 ttl=63 time=212 ms                       
64 bytes from 10.10.10.25: icmp_seq=67 ttl=63 time=299 ms                       
64 bytes from 10.10.10.25: icmp_seq=68 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=69 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=70 ttl=63 time=190 ms                       
64 bytes from 10.10.10.25: icmp_seq=71 ttl=63 time=195 ms                       
64 bytes from 10.10.10.25: icmp_seq=72 ttl=63 time=206 ms                       
64 bytes from 10.10.10.25: icmp_seq=73 ttl=63 time=201 ms                       
64 bytes from 10.10.10.25: icmp_seq=74 ttl=63 time=236 ms                       
64 bytes from 10.10.10.25: icmp_seq=75 ttl=63 time=199 ms                       
64 bytes from 10.10.10.25: icmp_seq=76 ttl=63 time=208 ms                       
64 bytes from 10.10.10.25: icmp_seq=77 ttl=63 time=207 ms                       
64 bytes from 10.10.10.25: icmp_seq=78 ttl=63 time=194 ms                       
64 bytes from 10.10.10.25: icmp_seq=79 ttl=63 time=193 ms                       
64 bytes from 10.10.10.25: icmp_seq=80 ttl=63 time=193 ms                       
64 bytes from 10.10.10.25: icmp_seq=81 ttl=63 time=192 ms                       
64 bytes from 10.10.10.25: icmp_seq=82 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=83 ttl=63 time=244 ms                       
64 bytes from 10.10.10.25: icmp_seq=84 ttl=63 time=188 ms                       
64 bytes from 10.10.10.25: icmp_seq=85 ttl=63 time=198 ms                       
64 bytes from 10.10.10.25: icmp_seq=86 ttl=63 time=194 ms                       
64 bytes from 10.10.10.25: icmp_seq=87 ttl=63 time=193 ms                       
64 bytes from 10.10.10.25: icmp_seq=88 ttl=63 time=192 ms                       
64 bytes from 10.10.10.25: icmp_seq=89 ttl=63 time=185 ms                       
64 bytes from 10.10.10.25: icmp_seq=90 ttl=63 time=206 ms                       
64 bytes from 10.10.10.25: icmp_seq=91 ttl=63 time=270 ms                       
64 bytes from 10.10.10.25: icmp_seq=92 ttl=63 time=221 ms                       
64 bytes from 10.10.10.25: icmp_seq=93 ttl=63 time=261 ms                       
64 bytes from 10.10.10.25: icmp_seq=94 ttl=63 time=205 ms                       
64 bytes from 10.10.10.25: icmp_seq=95 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=96 ttl=63 time=200 ms                       
64 bytes from 10.10.10.25: icmp_seq=222 ttl=63 time=217 ms                      
64 bytes from 10.10.10.25: icmp_seq=223 ttl=63 time=242 ms                      
64 bytes from 10.10.10.25: icmp_seq=224 ttl=63 time=196 ms                      
64 bytes from 10.10.10.25: icmp_seq=225 ttl=63 time=196 ms                      
64 bytes from 10.10.10.25: icmp_seq=226 ttl=63 time=205 ms                      
64 bytes from 10.10.10.25: icmp_seq=227 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=228 ttl=63 time=245 ms                      
64 bytes from 10.10.10.25: icmp_seq=229 ttl=63 time=392 ms                      
64 bytes from 10.10.10.25: icmp_seq=230 ttl=63 time=217 ms                      
64 bytes from 10.10.10.25: icmp_seq=231 ttl=63 time=452 ms                      
64 bytes from 10.10.10.25: icmp_seq=232 ttl=63 time=408 ms                      
64 bytes from 10.10.10.25: icmp_seq=233 ttl=63 time=224 ms                      
64 bytes from 10.10.10.25: icmp_seq=234 ttl=63 time=212 ms                      
64 bytes from 10.10.10.25: icmp_seq=235 ttl=63 time=256 ms                      
64 bytes from 10.10.10.25: icmp_seq=236 ttl=63 time=217 ms                      
64 bytes from 10.10.10.25: icmp_seq=237 ttl=63 time=211 ms                      
64 bytes from 10.10.10.25: icmp_seq=238 ttl=63 time=291 ms                      
64 bytes from 10.10.10.25: icmp_seq=239 ttl=63 time=207 ms                      
64 bytes from 10.10.10.25: icmp_seq=240 ttl=63 time=216 ms                      
64 bytes from 10.10.10.25: icmp_seq=241 ttl=63 time=225 ms                      
64 bytes from 10.10.10.25: icmp_seq=242 ttl=63 time=214 ms                      
64 bytes from 10.10.10.25: icmp_seq=243 ttl=63 time=212 ms                      
64 bytes from 10.10.10.25: icmp_seq=244 ttl=63 time=630 ms                      
64 bytes from 10.10.10.25: icmp_seq=245 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=246 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=247 ttl=63 time=209 ms                      
64 bytes from 10.10.10.25: icmp_seq=248 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=249 ttl=63 time=406 ms                      
64 bytes from 10.10.10.25: icmp_seq=250 ttl=63 time=304 ms                      
64 bytes from 10.10.10.25: icmp_seq=251 ttl=63 time=523 ms                      
64 bytes from 10.10.10.25: icmp_seq=252 ttl=63 time=205 ms                      
64 bytes from 10.10.10.25: icmp_seq=253 ttl=63 time=221 ms                      
64 bytes from 10.10.10.25: icmp_seq=254 ttl=63 time=209 ms                      
64 bytes from 10.10.10.25: icmp_seq=255 ttl=63 time=220 ms                      
64 bytes from 10.10.10.25: icmp_seq=256 ttl=63 time=218 ms                      
64 bytes from 10.10.10.25: icmp_seq=257 ttl=63 time=214 ms                      
64 bytes from 10.10.10.25: icmp_seq=258 ttl=63 time=249 ms                      
64 bytes from 10.10.10.25: icmp_seq=259 ttl=63 time=214 ms                      
64 bytes from 10.10.10.25: icmp_seq=260 ttl=63 time=211 ms                      
64 bytes from 10.10.10.25: icmp_seq=261 ttl=63 time=211 ms                      
64 bytes from 10.10.10.25: icmp_seq=262 ttl=63 time=239 ms                      
64 bytes from 10.10.10.25: icmp_seq=263 ttl=63 time=214 ms                      
64 bytes from 10.10.10.25: icmp_seq=264 ttl=63 time=230 ms                      
64 bytes from 10.10.10.25: icmp_seq=265 ttl=63 time=218 ms                      
64 bytes from 10.10.10.25: icmp_seq=266 ttl=63 time=225 ms                      
64 bytes from 10.10.10.25: icmp_seq=267 ttl=63 time=315 ms                      
64 bytes from 10.10.10.25: icmp_seq=268 ttl=63 time=189 ms                      
64 bytes from 10.10.10.25: icmp_seq=269 ttl=63 time=212 ms                      
64 bytes from 10.10.10.25: icmp_seq=270 ttl=63 time=201 ms                      
64 bytes from 10.10.10.25: icmp_seq=271 ttl=63 time=223 ms                      
64 bytes from 10.10.10.25: icmp_seq=272 ttl=63 time=207 ms                      
64 bytes from 10.10.10.25: icmp_seq=273 ttl=63 time=218 ms                      
64 bytes from 10.10.10.25: icmp_seq=274 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=275 ttl=63 time=214 ms                      
64 bytes from 10.10.10.25: icmp_seq=276 ttl=63 time=290 ms                      
64 bytes from 10.10.10.25: icmp_seq=277 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=278 ttl=63 time=222 ms                      
64 bytes from 10.10.10.25: icmp_seq=279 ttl=63 time=201 ms                      
64 bytes from 10.10.10.25: icmp_seq=280 ttl=63 time=220 ms                      
64 bytes from 10.10.10.25: icmp_seq=281 ttl=63 time=465 ms                      
64 bytes from 10.10.10.25: icmp_seq=282 ttl=63 time=201 ms                      
64 bytes from 10.10.10.25: icmp_seq=283 ttl=63 time=400 ms                      
64 bytes from 10.10.10.25: icmp_seq=284 ttl=63 time=215 ms                      
64 bytes from 10.10.10.25: icmp_seq=285 ttl=63 time=275 ms                      
64 bytes from 10.10.10.25: icmp_seq=286 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=287 ttl=63 time=276 ms                      
64 bytes from 10.10.10.25: icmp_seq=288 ttl=63 time=222 ms                      
64 bytes from 10.10.10.25: icmp_seq=289 ttl=63 time=217 ms                      
64 bytes from 10.10.10.25: icmp_seq=290 ttl=63 time=196 ms                      
64 bytes from 10.10.10.25: icmp_seq=291 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=292 ttl=63 time=332 ms                      
64 bytes from 10.10.10.25: icmp_seq=293 ttl=63 time=372 ms                      
64 bytes from 10.10.10.25: icmp_seq=294 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=295 ttl=63 time=221 ms                      
64 bytes from 10.10.10.25: icmp_seq=296 ttl=63 time=209 ms                      
64 bytes from 10.10.10.25: icmp_seq=297 ttl=63 time=198 ms                      
64 bytes from 10.10.10.25: icmp_seq=298 ttl=63 time=208 ms                      
64 bytes from 10.10.10.25: icmp_seq=299 ttl=63 time=215 ms                      
64 bytes from 10.10.10.25: icmp_seq=300 ttl=63 time=214 ms                      
64 bytes from 10.10.10.25: icmp_seq=301 ttl=63 time=232 ms                      
64 bytes from 10.10.10.25: icmp_seq=302 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=303 ttl=63 time=209 ms                      
64 bytes from 10.10.10.25: icmp_seq=304 ttl=63 time=216 ms                      
64 bytes from 10.10.10.25: icmp_seq=305 ttl=63 time=226 ms                      
64 bytes from 10.10.10.25: icmp_seq=306 ttl=63 time=216 ms                      
64 bytes from 10.10.10.25: icmp_seq=307 ttl=63 time=212 ms                      
64 bytes from 10.10.10.25: icmp_seq=308 ttl=63 time=212 ms                      
64 bytes from 10.10.10.25: icmp_seq=309 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=310 ttl=63 time=198 ms                      
64 bytes from 10.10.10.25: icmp_seq=311 ttl=63 time=217 ms                      
64 bytes from 10.10.10.25: icmp_seq=312 ttl=63 time=206 ms                      
64 bytes from 10.10.10.25: icmp_seq=313 ttl=63 time=274 ms                      
64 bytes from 10.10.10.25: icmp_seq=314 ttl=63 time=253 ms                      
64 bytes from 10.10.10.25: icmp_seq=315 ttl=63 time=210 ms                      
